Department,Month_Year,Complaint Count
M&M Service,2022-04,5
M&M Service,2022-05,1
M&M Service,2022-06,5
M&M Service,2022-07,2
M&M Service,2022-10,2
M&M Service,2022-11,4
M&M Service,2022-12,5
M&M Service,2023-01,2
M&M Service,2023-02,11
M&M Service,2023-04,1
M&M Service,2023-05,9
M&M Service,2023-06,4
M&M Service,2023-07,7
M&M Service,2023-08,9
M&M Service,2023-09,5
M&M Service,2023-10,8
M&M Service,2023-11,10
M&M Service,2023-12,6
M&M Service,2024-01,7
M&M Service,2024-02,20
M&M Service,2024-03,17
M&M Service,2024-04,8
M&M Service,2024-05,11
M&M Service,2024-06,3
M&M Service,2024-07,7
M&M Service,2024-08,8
M&M Service,2024-09,11
M&M Service,2024-10,11
M&M Service,2024-11,13
M&M Service,2024-12,7
M&M Service,2025-01,7
M&M Service,2025-02,9
M&M Service,2025-03,28
M&M Service,2025-04,21
M&M Service,2025-05,23
