Department,Month_Year,Complaint Count
Service & Bodyshop-MB,2022-06,3
Service & Bodyshop-MB,2022-07,1
Service & Bodyshop-MB,2022-08,4
Service & Bodyshop-MB,2022-09,5
Service & Bodyshop-MB,2022-10,1
Service & Bodyshop-MB,2022-12,2
Service & Bodyshop-MB,2023-01,1
Service & Bodyshop-MB,2023-03,2
Service & Bodyshop-MB,2023-04,1
Service & Bodyshop-MB,2023-05,2
Service & Bodyshop-MB,2023-06,6
Service & Bodyshop-MB,2023-07,4
Service & Bodyshop-MB,2023-08,11
Service & Bodyshop-MB,2023-09,4
Service & Bodyshop-MB,2023-10,2
Service & Bodyshop-MB,2023-11,5
Service & Bodyshop-MB,2023-12,2
Service & Bodyshop-MB,2024-01,7
Service & Bodyshop-MB,2024-02,9
Service & Bodyshop-MB,2024-03,8
Service & Bodyshop-MB,2024-04,9
Service & Bodyshop-MB,2024-05,16
Service & Bodyshop-MB,2024-06,13
Service & Bodyshop-MB,2024-07,10
Service & Bodyshop-MB,2024-08,20
Service & Bodyshop-MB,2024-09,19
Service & Bodyshop-MB,2024-10,15
Service & Bodyshop-MB,2024-11,26
Service & Bodyshop-MB,2024-12,14
Service & Bodyshop-MB,2025-01,15
Service & Bodyshop-MB,2025-02,26
Service & Bodyshop-MB,2025-03,28
Service & Bodyshop-MB,2025-04,29
Service & Bodyshop-MB,2025-05,7
